14,15,9,3,1,7,6,4,5,8,11,2,19,10,17,0,16,13,18,12
ERF,AQN,DOL,MEG,WCP,NA,BB,CSH-UN,XSB,CRR-UN,TECK-B,NG,CIX,AAV,WEF,ABX,TOG,ECN,XLB,GWO
DOO,XGB,FTS,,BBU-UN,CP,STN,,MIC,,BTE,,,,,ALA,,,,
PSK,T,BAM-A,,TSGI,CLS,,,XIN,,XEM,,,,,,,,,
AEM,ASR,MX,,MSI,NFI,,,,,PWF,,,,,,,,,
OTEX,MFI,OR,,QBR-B,POU,,,,,IMO,,,,,,,,,
G,REI-UN,SRU-UN,,IGM,XTR,,,,,,,,,,,,,,
WEED,CG,XSP,,TRI,SES,,,,,,,,,,,,,,
CHE-UN,GIL,XRB,,ATA,,,,,,,,,,,,,,,
HCG,NWC,CFP,,PAAS,,,,,,,,,,,,,,,
FVI,BBD-B,PKI,,KL,,,,,,,,,,,,,,,
XRE,CSU,XSU,,NVU-UN,,,,,,,,,,,,,,,
ATD-B,TFII,XST,,TVE,,,,,,,,,,,,,,,
EXE,SNC,CU,,BEP-UN,,,,,,,,,,,,,,,
PD,SJR-B,UNS,,RBA,,,,,,,,,,,,,,,
SIA,FTT,LUN,,,,,,,,,,,,,,,,,
CAE,ARE,LNR,,,,,,,,,,,,,,,,,
DGC,XEN,PSI,,,,,,,,,,,,,,,,,
ELD,CPX,POW,,,,,,,,,,,,,,,,,
ONEX,GIB-A,CCL-B,,,,,,,,,,,,,,,,,
XMD,BAD,CTC-A,,,,,,,,,,,,,,,,,
FRU,XGD,INE,,,,,,,,,,,,,,,,,
CCO,HBC,FSV,,,,,,,,,,,,,,,,,
KML,VET,MTY,,,,,,,,,,,,,,,,,
ENB,TCL-A,SPB,,,,,,,,,,,,,,,,,
,GEI,EMA,,,,,,,,,,,,,,,,,
,LIF,DSG,,,,,,,,,,,,,,,,,
,SSL,TOU,,,,,,,,,,,,,,,,,
,XMA,ZZZ,,,,,,,,,,,,,,,,,
,MTL,,,,,,,,,,,,,,,,,,
,RY,,,,,,,,,,,,,,,,,,
,SJ,,,,,,,,,,,,,,,,,,
,GTE,,,,,,,,,,,,,,,,,,
,RNW,,,,,,,,,,,,,,,,,,
,D-UN,,,,,,,,,,,,,,,,,,
,CMG,,,,,,,,,,,,,,,,,,
,BYD-UN,,,,,,,,,,,,,,,,,,
,CAS,,,,,,,,,,,,,,,,,,
,TCW,,,,,,,,,,,,,,,,,,
,FM,,,,,,,,,,,,,,,,,,
,GUD,,,,,,,,,,,,,,,,,,
,PVG,,,,,,,,,,,,,,,,,,
,WPM,,,,,,,,,,,,,,,,,,
